[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:35:14,873 | INFO] Receiver thread now running
[2019-08-24 11:35:35,229 | INFO] Receiver thread now running
[2019-08-24 11:35:35,825 | INFO] 77
[2019-08-24 11:35:35,844 | INFO] d1
[2019-08-24 11:35:36,550 | INFO] 08
[2019-08-24 11:35:36,562 | INFO] ae
[2019-08-24 11:35:37,278 | INFO] 77
[2019-08-24 11:35:37,290 | INFO] d1
[2019-08-24 11:35:37,998 | INFO] 08
[2019-08-24 11:35:38,015 | INFO] ae
[2019-08-24 11:35:38,725 | INFO] 77
[2019-08-24 11:35:38,738 | INFO] d1
[2019-08-24 11:35:39,455 | INFO] 08
[2019-08-24 11:35:39,474 | INFO] ae
[2019-08-24 11:35:40,176 | INFO] 77
[2019-08-24 11:35:40,187 | INFO] d1
[2019-08-24 11:35:40,900 | INFO] 08
[2019-08-24 11:35:40,911 | INFO] ae
[2019-08-24 11:35:41,627 | INFO] 77
[2019-08-24 11:35:41,638 | INFO] d1
[2019-08-24 11:35:42,363 | INFO] 08
[2019-08-24 11:35:42,381 | INFO] ae
[2019-08-24 11:35:43,078 | INFO] 77
[2019-08-24 11:35:43,090 | INFO] d1
[2019-08-24 11:35:43,803 | INFO] 08
[2019-08-24 11:35:43,814 | INFO] ae
[2019-08-24 11:35:44,527 | INFO] 77
[2019-08-24 11:35:44,540 | INFO] d1
[2019-08-24 11:35:45,254 | INFO] 08
[2019-08-24 11:35:45,267 | INFO] ae
[2019-08-24 11:35:45,984 | INFO] 77
[2019-08-24 11:35:46,001 | INFO] d1
[2019-08-24 11:35:46,704 | INFO] 08
[2019-08-24 11:35:46,734 | INFO] ae
[2019-08-24 11:35:47,429 | INFO] 77
[2019-08-24 11:35:47,448 | INFO] d1
[2019-08-24 11:35:48,157 | INFO] 08
[2019-08-24 11:35:48,173 | INFO] ae
[2019-08-24 11:35:48,886 | INFO] 77
[2019-08-24 11:35:48,892 | INFO] d1
[2019-08-24 11:35:49,608 | INFO] 08
[2019-08-24 11:35:49,619 | INFO] ae
[2019-08-24 11:35:50,331 | INFO] 77
[2019-08-24 11:35:50,345 | INFO] d1
[2019-08-24 11:35:51,061 | INFO] 08
[2019-08-24 11:35:51,083 | INFO] ae
[2019-08-24 11:35:51,785 | INFO] 77
[2019-08-24 11:35:51,797 | INFO] d1
[2019-08-24 11:35:52,512 | INFO] 08
[2019-08-24 11:35:52,517 | INFO] ae
[2019-08-24 11:35:53,234 | INFO] 77
[2019-08-24 11:35:53,252 | INFO] d1
[2019-08-24 11:35:53,962 | INFO] 08
[2019-08-24 11:35:53,973 | INFO] ae
[2019-08-24 11:35:54,688 | INFO] 77
[2019-08-24 11:35:54,706 | INFO] d1
[2019-08-24 11:35:55,411 | INFO] 08
[2019-08-24 11:35:55,417 | INFO] ae
[2019-08-24 11:35:56,145 | INFO] 77
[2019-08-24 11:35:56,163 | INFO] d1
[2019-08-24 11:35:56,870 | INFO] 08
[2019-08-24 11:35:56,882 | INFO] ae
[2019-08-24 11:35:57,589 | INFO] 77
[2019-08-24 11:35:57,611 | INFO] d1
[2019-08-24 11:35:58,310 | INFO] 08
[2019-08-24 11:35:58,324 | INFO] ae
[2019-08-24 11:35:59,039 | INFO] 77
[2019-08-24 11:35:59,052 | INFO] d1
[2019-08-24 11:35:59,772 | INFO] 08
[2019-08-24 11:35:59,788 | INFO] ae
[2019-08-24 11:36:00,490 | INFO] 77
[2019-08-24 11:36:00,496 | INFO] d1
[2019-08-24 11:36:01,216 | INFO] 08
[2019-08-24 11:36:01,223 | INFO] ae
