[2019-08-26 16:23:29,772 | INFO] starting up on 172.16.2.190 port 50001
[2019-08-26 16:23:29,774 | INFO] Sender thread is now running...
[2019-08-26 16:23:29,774 | INFO] Receiver thread is now running...
[2019-08-26 16:23:29,899 | INFO] 77d1
[2019-08-26 16:23:30,623 | INFO] 08ae
[2019-08-26 16:23:31,347 | INFO] 77d1
[2019-08-26 16:23:32,075 | INFO] 08ae
[2019-08-26 16:23:32,798 | INFO] 77d1
[2019-08-26 16:23:33,526 | INFO] 08ae
[2019-08-26 16:23:34,248 | INFO] 77d1
[2019-08-26 16:23:34,976 | INFO] 08ae
[2019-08-26 16:23:35,699 | INFO] 77d1
[2019-08-26 16:23:36,427 | INFO] 08ae
[2019-08-26 16:23:37,150 | INFO] 77d1
[2019-08-26 16:23:37,878 | INFO] 08ae
[2019-08-26 16:23:38,601 | INFO] 77d1
[2019-08-26 16:23:39,328 | INFO] 08ae
[2019-08-26 16:23:40,053 | INFO] 77d1
[2019-08-26 16:23:40,781 | INFO] 08ae
[2019-08-26 16:23:41,503 | INFO] 77d1
[2019-08-26 16:23:42,231 | INFO] 08ae
[2019-08-26 16:23:42,954 | INFO] 77d1
[2019-08-26 16:23:43,682 | INFO] 08ae
[2019-08-26 16:23:44,405 | INFO] 77d1
[2019-08-26 16:23:45,132 | INFO] 08ae
[2019-08-26 16:23:45,855 | INFO] 77d1
[2019-08-26 16:23:46,583 | INFO] 08ae
[2019-08-26 16:23:47,307 | INFO] 77d1
[2019-08-26 16:23:48,034 | INFO] 08ae
[2019-08-26 16:23:48,757 | INFO] 77d1
[2019-08-26 16:23:49,481 | INFO] 08ae
[2019-08-26 16:23:50,210 | INFO] 77d1
[2019-08-26 16:23:50,933 | INFO] 08ae
[2019-08-26 16:23:51,659 | INFO] 77d1
[2019-08-26 16:23:52,384 | INFO] 08ae
[2019-08-26 16:23:53,109 | INFO] 77d1
[2019-08-26 16:23:53,834 | INFO] 08ae
[2019-08-26 16:23:54,560 | INFO] 77d1
[2019-08-26 16:23:55,285 | INFO] 08ae
[2019-08-26 16:23:56,014 | INFO] 77d1
[2019-08-26 16:23:56,738 | INFO] 08ae
[2019-08-26 16:23:57,463 | INFO] 77d1
[2019-08-26 16:23:58,188 | INFO] 08ae
[2019-08-26 16:23:58,913 | INFO] 77d1
[2019-08-26 16:23:59,637 | INFO] 08ae
[2019-08-26 16:24:00,367 | INFO] 77d1
[2019-08-26 16:24:01,090 | INFO] 08ae
[2019-08-26 16:24:01,818 | INFO] 77d1
[2019-08-26 16:24:02,540 | INFO] 08ae
[2019-08-26 16:24:03,268 | INFO] 77d1
[2019-08-26 16:24:03,993 | INFO] 08ae
[2019-08-26 16:24:04,716 | INFO] 77d1
[2019-08-26 16:24:05,444 | INFO] 08ae
[2019-08-26 16:24:06,169 | INFO] 77d1
[2019-08-26 16:24:06,893 | INFO] 08ae
[2019-08-26 16:24:07,621 | INFO] 77d1
[2019-08-26 16:24:08,343 | INFO] 08ae
[2019-08-26 16:24:09,070 | INFO] 77d1
[2019-08-26 16:24:09,794 | INFO] 08ae
[2019-08-26 16:24:10,521 | INFO] 77d1
[2019-08-26 16:24:11,248 | INFO] 08ae
[2019-08-26 16:24:11,971 | INFO] 77d1
[2019-08-26 16:24:12,699 | INFO] 08ae
[2019-08-26 16:24:13,421 | INFO] 77d1
[2019-08-26 16:24:14,149 | INFO] 08ae
