[2019-08-23 14:01:11,937 | INFO] Sender thread is now running...
[2019-08-23 14:01:11,944 | INFO] Receiver thread is now running...
[2019-08-23 14:01:17,046 | INFO] Sending kill to threads...
[2019-08-23 14:01:18,026 | ERROR] RX disconnected 5.068480968475342
[2019-08-23 14:01:18,026 | INFO] Sender thread terminated
[2019-08-23 14:01:18,027 | INFO] Receiver thread terminated
[2019-08-23 14:01:18,030 | INFO] Program terminated
[2019-08-23 14:01:20,461 | INFO] Sender thread is now running...
[2019-08-23 14:01:20,462 | INFO] Receiver thread is now running...
[2019-08-23 14:01:26,723 | ERROR] RX disconnected 5.06063175201416
[2019-08-23 14:01:31,768 | ERROR] RX disconnected 5.056058645248413
[2019-08-23 14:01:33,078 | INFO] Sending kill to threads...
[2019-08-23 14:01:33,605 | INFO] Sender thread terminated
[2019-08-23 14:01:33,785 | INFO] Receiver thread terminated
[2019-08-23 14:01:33,786 | INFO] Program terminated
[2019-08-23 14:01:49,907 | INFO] Sender thread is now running...
[2019-08-23 14:01:49,908 | INFO] Receiver thread is now running...
[2019-08-23 14:01:52,948 | INFO] Sending kill to threads...
[2019-08-23 14:01:53,548 | INFO] Receiver thread terminated
[2019-08-23 14:01:53,954 | INFO] Sender thread terminated
[2019-08-23 14:01:53,955 | INFO] Program terminated
[2019-08-23 14:02:29,442 | INFO] Sender thread is now running...
[2019-08-23 14:02:29,442 | INFO] Receiver thread is now running...
[2019-08-23 14:02:35,806 | ERROR] RX disconnected 5.055456638336182
[2019-08-23 14:02:36,718 | INFO] Sending kill to threads...
[2019-08-23 14:02:36,809 | INFO] Receiver thread terminated
[2019-08-23 14:02:37,531 | INFO] Sender thread terminated
[2019-08-23 14:02:37,531 | INFO] Program terminated
[2019-08-23 14:04:28,201 | INFO] Sender thread is now running...
[2019-08-23 14:04:28,202 | INFO] Receiver thread is now running...
[2019-08-23 14:04:44,357 | INFO] Sending kill to threads...
[2019-08-23 14:04:44,418 | INFO] Receiver thread terminated
[2019-08-23 14:04:45,339 | INFO] Sender thread terminated
[2019-08-23 14:04:45,340 | INFO] Program terminated
[2019-08-23 14:04:57,590 | INFO] Sender thread is now running...
[2019-08-23 14:04:57,591 | INFO] Receiver thread is now running...
[2019-08-23 14:05:32,618 | INFO] Sending kill to threads...
[2019-08-23 14:05:32,620 | INFO] Receiver thread terminated
[2019-08-23 14:05:32,924 | INFO] Sender thread terminated
[2019-08-23 14:05:32,925 | INFO] Program terminated
[2019-08-23 14:05:47,637 | INFO] Sender thread is now running...
[2019-08-23 14:05:47,637 | INFO] Receiver thread is now running...
[2019-08-23 14:05:47,714 | INFO] from LMI 20
[2019-08-23 14:05:47,715 | INFO] from LMI 6e
[2019-08-23 14:05:47,715 | INFO] from LMI 81
[2019-08-23 14:05:47,716 | INFO] from LMI a1
[2019-08-23 14:05:47,717 | INFO] from LMI 4e
[2019-08-23 14:05:47,717 | INFO] from LMI d1
[2019-08-23 14:05:47,718 | INFO] from LMI e6
[2019-08-23 14:05:47,719 | INFO] from LMI f9
[2019-08-23 14:05:47,815 | INFO] from LMI ef
[2019-08-23 14:05:47,816 | INFO] from LMI f7
[2019-08-23 14:05:47,817 | INFO] from LMI 4e
[2019-08-23 14:05:47,874 | INFO] from LMI 02
[2019-08-23 14:05:47,875 | INFO] from LMI 20
[2019-08-23 14:05:47,876 | INFO] from LMI 6e
[2019-08-23 14:05:47,877 | INFO] from LMI 81
[2019-08-23 14:05:47,878 | INFO] from LMI a1
