[2019-08-26 00:00:00,713 | INFO] from RCU 08ae
[2019-08-26 00:00:01,439 | INFO] from RCU 77d1
[2019-08-26 00:00:02,164 | INFO] from RCU 08ae
[2019-08-26 00:00:02,891 | INFO] from RCU 77d1
[2019-08-26 00:00:03,616 | INFO] from RCU 08ae
[2019-08-26 00:00:04,341 | INFO] from RCU 77d1
[2019-08-26 00:00:05,067 | INFO] from RCU 08ae
[2019-08-26 00:00:05,791 | INFO] from RCU 77d1
[2019-08-26 00:00:06,516 | INFO] from RCU 08ae
[2019-08-26 00:00:07,244 | INFO] from RCU 77d1
[2019-08-26 00:00:07,968 | INFO] from RCU 08ae
[2019-08-26 00:00:08,693 | INFO] from RCU 77d1
[2019-08-26 00:00:09,419 | INFO] from RCU 08ae
[2019-08-26 00:00:10,144 | INFO] from RCU 77d1
[2019-08-26 00:00:10,870 | INFO] from RCU 08ae
[2019-08-26 00:00:11,595 | INFO] from RCU 77d1
[2019-08-26 00:00:12,320 | INFO] from RCU 08ae
[2019-08-26 00:00:13,045 | INFO] from RCU 77d1
[2019-08-26 00:00:13,772 | INFO] from RCU 08ae
[2019-08-26 00:00:14,497 | INFO] from RCU 77d1
[2019-08-26 00:00:15,223 | INFO] from RCU 08ae
[2019-08-26 00:00:15,948 | INFO] from RCU 77d1
[2019-08-26 00:00:16,674 | INFO] from RCU 08ae
[2019-08-26 00:00:17,398 | INFO] from RCU 77d1
[2019-08-26 00:00:18,124 | INFO] from RCU 08ae
[2019-08-26 00:00:18,849 | INFO] from RCU 77d1
[2019-08-26 00:00:19,575 | INFO] from RCU 08ae
[2019-08-26 00:00:20,300 | INFO] from RCU 77d1
[2019-08-26 00:00:21,026 | INFO] from RCU 08ae
[2019-08-26 00:00:21,751 | INFO] from RCU 77d1
[2019-08-26 00:00:22,476 | INFO] from RCU 08ae
[2019-08-26 00:00:23,202 | INFO] from RCU 77d1
[2019-08-26 00:00:23,928 | INFO] from RCU 08ae
[2019-08-26 00:00:24,653 | INFO] from RCU 77d1
