[2019-08-24 13:54:25,783 | INFO] starting up on 192.168.1.180 port 40000
[2019-08-24 13:54:25,786 | INFO] Sender thread is now running...
[2019-08-24 13:54:25,786 | INFO] Receiver thread is now running...
[2019-08-24 13:54:26,361 | INFO] 08ae
[2019-08-24 13:54:27,088 | INFO] 77d1
[2019-08-24 13:54:27,813 | INFO] 08ae
[2019-08-24 13:54:28,539 | INFO] 77d1
[2019-08-24 13:54:29,264 | INFO] 08ae
[2019-08-24 13:54:29,991 | INFO] 77d1
[2019-08-24 13:54:30,714 | INFO] 08ae
[2019-08-24 13:54:31,440 | INFO] 77d1
[2019-08-24 13:54:32,165 | INFO] 08ae
[2019-08-24 13:54:32,891 | INFO] 77d1
[2019-08-24 13:54:33,618 | INFO] 08ae
[2019-08-24 13:54:34,341 | INFO] 77d1
[2019-08-24 13:54:35,067 | INFO] 08ae
[2019-08-24 13:54:35,793 | INFO] 77d1
[2019-08-24 13:54:36,517 | INFO] 08ae
[2019-08-24 13:54:37,242 | INFO] 77d1
[2019-08-24 13:54:37,968 | INFO] 08ae
[2019-08-24 13:54:38,695 | INFO] 77d1
[2019-08-24 13:54:39,418 | INFO] 08ae
[2019-08-24 13:54:40,144 | INFO] 77d1
[2019-08-24 13:54:40,869 | INFO] 08ae
[2019-08-24 13:54:41,595 | INFO] 77d1
[2019-08-24 13:54:42,322 | INFO] 08ae
[2019-08-24 13:54:43,048 | INFO] 77d1
[2019-08-24 13:54:43,771 | INFO] 08ae
[2019-08-24 13:54:44,497 | INFO] 77d1
[2019-08-24 13:54:45,222 | INFO] 08ae
[2019-08-24 13:54:45,948 | INFO] 77d1
[2019-08-24 13:54:46,674 | INFO] 08ae
[2019-08-24 13:54:47,400 | INFO] 77d1
[2019-08-24 13:54:48,124 | INFO] 08ae
[2019-08-24 13:54:48,850 | INFO] 77d1
[2019-08-24 13:54:49,574 | INFO] 08ae
[2019-08-24 13:54:50,301 | INFO] 77d1
[2019-08-24 13:54:51,027 | INFO] 08ae
[2019-08-24 13:54:51,754 | INFO] 77d1
[2019-08-24 13:54:52,475 | INFO] 08ae
[2019-08-24 13:54:53,202 | INFO] 77d1
[2019-08-24 13:54:53,928 | INFO] 08ae
[2019-08-24 13:54:54,654 | INFO] 77d1
[2019-08-24 13:54:55,377 | INFO] 08ae
[2019-08-24 13:54:56,103 | INFO] 77d1
[2019-08-24 13:54:56,829 | INFO] 08ae
[2019-08-24 13:54:57,554 | INFO] 77d1
[2019-08-24 13:54:58,280 | INFO] 08ae
[2019-08-24 13:54:59,007 | INFO] 77d1
[2019-08-24 13:54:59,730 | INFO] 08ae
[2019-08-24 13:55:00,455 | INFO] 77d1
[2019-08-24 13:55:01,181 | INFO] 08ae
[2019-08-24 13:55:01,909 | INFO] 77d1
[2019-08-24 13:55:02,631 | INFO] 08ae
[2019-08-24 13:55:03,357 | INFO] 77d1
[2019-08-24 13:55:04,082 | INFO] 08ae
[2019-08-24 13:55:04,808 | INFO] 77d1
[2019-08-24 13:55:05,535 | INFO] 08ae
[2019-08-24 13:55:06,258 | INFO] 77d1
[2019-08-24 13:55:06,985 | INFO] 08ae
[2019-08-24 13:55:07,711 | INFO] 77d1
[2019-08-24 13:55:08,434 | INFO] 08ae
[2019-08-24 13:55:09,161 | INFO] 77d1
[2019-08-24 13:55:09,887 | INFO] 08ae
[2019-08-24 13:55:10,613 | INFO] 77d1
[2019-08-24 13:55:11,336 | INFO] 08ae
[2019-08-24 13:55:12,062 | INFO] 77d1
[2019-08-24 13:55:12,789 | INFO] 08ae
[2019-08-24 13:55:13,515 | INFO] 77d1
[2019-08-24 13:55:14,237 | INFO] 08ae
[2019-08-24 13:55:14,964 | INFO] 77d1
[2019-08-24 13:55:15,688 | INFO] 08ae
[2019-08-24 13:55:16,415 | INFO] 77d1
[2019-08-24 13:55:17,141 | INFO] 08ae
[2019-08-24 13:55:17,865 | INFO] 77d1
[2019-08-24 13:55:18,591 | INFO] 08ae
[2019-08-24 13:55:19,317 | INFO] 77d1
[2019-08-24 13:55:20,042 | INFO] 08ae
[2019-08-24 13:55:20,766 | INFO] 77d1
[2019-08-24 13:55:21,492 | INFO] 08ae
[2019-08-24 13:55:22,218 | INFO] 77d1
[2019-08-24 13:55:22,942 | INFO] 08ae
[2019-08-24 13:55:23,668 | INFO] 77d1
