[2019-08-24 14:01:10,410 | INFO] Sender thread is now running...
[2019-08-24 14:01:10,410 | INFO] Receiver thread is now running...
[2019-08-24 14:01:10,637 | INFO] from RCU 77d1
[2019-08-24 14:01:11,361 | INFO] from RCU 08ae
[2019-08-24 14:01:12,085 | INFO] from RCU 77d1
[2019-08-24 14:01:12,810 | INFO] from RCU 08ae
[2019-08-24 14:01:13,538 | INFO] from RCU 77d1
[2019-08-24 14:01:14,261 | INFO] from RCU 08ae
[2019-08-24 14:01:14,989 | INFO] from RCU 77d1
[2019-08-24 14:01:15,712 | INFO] from RCU 08ae
[2019-08-24 14:01:16,441 | INFO] from RCU 77d1
[2019-08-24 14:01:17,163 | INFO] from RCU 08ae
[2019-08-24 14:01:17,891 | INFO] from RCU 77d1
[2019-08-24 14:01:18,614 | INFO] from RCU 08ae
[2019-08-24 14:01:19,340 | INFO] from RCU 77d1
[2019-08-24 14:01:20,065 | INFO] from RCU 08ae
[2019-08-24 14:01:20,791 | INFO] from RCU 77d1
[2019-08-24 14:01:21,516 | INFO] from RCU 08ae
[2019-08-24 14:01:22,242 | INFO] from RCU 77d1
[2019-08-24 14:01:22,967 | INFO] from RCU 08ae
[2019-08-24 14:01:23,692 | INFO] from RCU 77d1
[2019-08-24 14:01:24,417 | INFO] from RCU 08ae
[2019-08-24 14:01:25,143 | INFO] from RCU 77d1
[2019-08-24 14:01:25,869 | INFO] from RCU 08ae
[2019-08-24 14:01:26,595 | INFO] from RCU 77d1
[2019-08-24 14:01:27,320 | INFO] from RCU 08ae
[2019-08-24 14:01:28,046 | INFO] from RCU 77d1
[2019-08-24 14:01:28,771 | INFO] from RCU 08ae
[2019-08-24 14:01:29,497 | INFO] from RCU 77d1
[2019-08-24 14:01:30,221 | INFO] from RCU 08ae
[2019-08-24 14:01:30,947 | INFO] from RCU 77d1
[2019-08-24 14:01:31,672 | INFO] from RCU 08ae
[2019-08-24 14:01:32,398 | INFO] from RCU 77d1
[2019-08-24 14:01:33,123 | INFO] from RCU 08ae
[2019-08-24 14:01:33,851 | INFO] from RCU 77d1
[2019-08-24 14:01:34,573 | INFO] from RCU 08ae
[2019-08-24 14:01:35,299 | INFO] from RCU 77d1
[2019-08-24 14:01:36,024 | INFO] from RCU 08ae
[2019-08-24 14:01:36,749 | INFO] from RCU 77d1
[2019-08-24 14:01:37,475 | INFO] from RCU 08ae
[2019-08-24 14:01:38,200 | INFO] from RCU 77d1
[2019-08-24 14:01:38,926 | INFO] from RCU 08ae
[2019-08-24 14:01:39,652 | INFO] from RCU 77d1
